# The .env schema: every setting mediastack or its compose files read.
# lib/env.sh validates .env against it (values on every command, unknown keys
# in doctor); CI holds the code and .env.example to it (scripts/test-env.sh).
# Columns (TAB-separated):
#   key     a name, or a family: <svc>_X for every service (its name
#           uppercased, - as _), <arr> for the arrs trash-sync manages,
#           <root> for CONFIG_ROOT, DATA_ROOT, CACHE_ROOT, TRANSCODE_ROOT, BACKUP_ROOT
#   type    text secret path dirname int pint pct bool uid port size tz
#           calendar profiles host domain email url cname enum:a|b ...
#           retired:N (no longer used since schema N — doctor says so)
#   empty   ok = an empty value is allowed (usually: not set yet / use the default)
#   writer  you | wizard (configure or a setup verb asks) | script (written for
#           you) | advanced (read with a default; set it only to change that)
#           — you and wizard keys must appear in .env.example
#   meaning one line
ENV_SCHEMA	int	no	script	version of this file's layout — migrations manage it; never edit
TZ	tz	no	you	time zone (a name under /usr/share/zoneinfo, e.g. Australia/Adelaide)
CONFIG_ROOT	path	no	wizard	where one kind of state lives (configure asks; stored absolute)
DATA_ROOT	path	no	wizard	where one kind of state lives (configure asks; stored absolute)
CACHE_ROOT	path	no	wizard	where one kind of state lives (configure asks; stored absolute)
TRANSCODE_ROOT	path	no	wizard	where one kind of state lives (configure asks; stored absolute)
BACKUP_ROOT	path	no	wizard	where one kind of state lives (configure asks; stored absolute)
<root>_PREVIOUS	path	ok	script	where a root was before configure moved it and left the contents (doctor reminds)
<root>_SOURCE	text	ok	script	the device or share a root was on when configure recorded it (mount checks)
MEDIA_DIR_MOVIES	dirname	no	wizard	the library folder name under DATA_ROOT/media
MEDIA_DIR_MOVIES_4K	dirname	no	wizard	the library folder name under DATA_ROOT/media
MEDIA_DIR_TV	dirname	no	wizard	the library folder name under DATA_ROOT/media
MEDIA_DIR_TV_ANIME	dirname	no	wizard	the library folder name under DATA_ROOT/media
MEDIA_DIR_MUSIC	dirname	no	wizard	the library folder name under DATA_ROOT/media
COMPOSE_PROFILES	profiles	ok	wizard	the services turned on, comma-separated (enable/disable edit it)
MEDIA_GROUP_GID	uid	no	wizard	the shared media group's id (mediacenter)
UID_BASE	uid	no	wizard	first id handed to new service users
OLIVETIN_GID	uid	ok	script	the web panel user's group id (frontdoor-install)
VPN_PROVIDER	text	ok	wizard	the gluetun VPN provider name
WIREGUARD_PRIVATE_KEY	secret	ok	wizard	the VPN's WireGuard private key
WIREGUARD_ADDRESSES	text	ok	wizard	the WireGuard interface address (e.g. 10.5.0.2/32)
VPN_SERVER_COUNTRIES	text	ok	you	limit the VPN to these countries (comma-separated; empty = any)
VPN_SERVER_CITIES	text	ok	you	limit the VPN to these cities (comma-separated; empty = any)
VPN_SERVER_HOSTNAMES	text	ok	you	limit the VPN to these server hostnames (comma-separated; empty = any)
VPN_DNS_ADDRESS	text	ok	you	DNS server inside the tunnel (empty = the provider's)
QBITTORRENT_USER	text	ok	script	qBittorrent login (wire / set-credentials)
QBITTORRENT_PASSWORD	secret	ok	script	qBittorrent password (wire / set-credentials)
ARR_USER	text	ok	script	the shared arr login (wire / set-credentials)
ARR_PASSWORD	secret	ok	script	the shared arr password (wire / set-credentials)
MEILI_MASTER_KEY	secret	ok	script	Meilisearch master key (generated)
CLOUDFLARE_TUNNEL_TOKEN	secret	ok	you	Cloudflare tunnel token (cloudflared)
PIHOLE_PASSWORD	secret	ok	script	Pi-hole web password (generated)
UPDATE_SCHEDULE	calendar	ok	wizard	when automatic updates run (systemd OnCalendar; empty = no timer)
UPDATE_DEFER_IF_ACTIVE	bool	no	you	postpone an update while someone is watching
UPDATE_DEFER_RETRY_MIN	pint	no	you	minutes between checks while an update is postponed
UPDATE_DEFER_MAX_MIN	pint	no	you	longest an update is postponed, in minutes
UPDATE_DEFER_ACTION	enum:proceed|skip	no	you	after the longest postponement: proceed anyway, or skip this run
NOTIFY_GRACE	int	no	you	seconds between the household warning and a restart (0 = warn, no pause)
JELLYFIN_API_KEY	secret	ok	script	the stack's Jellyfin API key (wire jellyfin)
JELLYFIN_ADMIN_USER	text	ok	script	Jellyfin admin login (wire jellyfin / set-credentials)
JELLYFIN_ADMIN_PASSWORD	secret	ok	script	Jellyfin admin password (wire jellyfin / set-credentials)
JELLYFIN_PUBLISHED_URL	url	ok	you	the address Jellyfin tells clients to use (empty = automatic)
BACKUP_KEEP_DAILY	int	no	you	newest restore points kept (0 disables the tier)
BACKUP_KEEP_WEEKLY	int	no	you	weeks of weekly restore points (0 disables the tier)
BACKUP_KEEP_MONTHLY	int	no	you	months of monthly restore points (0 disables the tier)
BACKUP_KEEP_PREUPDATE	int	no	you	pre-update restore points kept (0 disables the tier)
MANIFEST_SCHEDULE	calendar	ok	you	when the media manifest runs (systemd OnCalendar; empty = no timer)
MANIFEST_KEEP_DAYS	pint	no	you	days of manifests kept
MANIFEST_ALERT_PCT	pct	no	you	a drop in media files above this % is refused as a probable outage
AUDIT_ENABLED	bool	no	script	deletion attribution on (set by: audit on / audit off)
AUDIT_KEEP_DAYS	pint	no	you	days of deletion history kept
RECYCLE_ENABLED	bool	no	you	the arrs' recycle bin on
RECYCLE_ROOT	path	ok	you	where the arrs' recycle bins live (empty = DATA_ROOT/recycle)
